Symbol,Name,CommonName,Sector
ADT,ADT Inc,ADT,Industrials
ABNB,Airbnb Inc,Airbnb,Communication Services
BABA,Alibaba Group Holding Limited,Alibaba,Consumer Discretionary
BB, BlackBerry Limited, Blacberry, Consumer Discretionary
GOOGL,Alphabet Inc,Alphabet,Communication Services
AMZN,Amazon.com Inc,Amazon,Consumer Discretionary
AMC,AMC Entertainment Holdings Inc.,AMC,Communication Services
AMD,Advanced Micro Devices Inc,AMD,Information Technology
AAL,American Airlines Group,American Airlines,Industrials
AM,Antero Midstream Corporation,Antero,Energy
APHA,Aphria Inc,Aphria,Health Care
AAPL,Apple Inc,Apple,Information Technology
AZN,AstraZeneca PLC,AstraZeneca,Health Care
T,AT&T Inc.,AT&T,Communication Services
ACB,Aurora Cannabis Inc,Aurora,Health Care
BAC,Bank of America Corporation,Bank of America,Financials
BA,Boeing Company,Boeing Company,Industrials
BP,British Petroleum PLC,British Petroleum,Energy
CGC,Canopy Growth Corporation,Canopy,Health Care
CCL,Carnival Corporation,Carnival,Consumer Discretionary
CPRX,Catalyst Pharmaceuticals Inc,Catalyst Pharmaceuticals,Health Care
KO,Coca-Cola Company,Coca Cola,Consumer Staples
COTY,Coty Inc,Coty,Consumer Staples
CRON,Cronos Group Inc,Cronos,Health Care
PLAY,Dave & Buster's Entertainment Inc.,Dave Buster,Consumer Discretionary
DAL,Delta Air Lines Inc.,Delta,Industrials
DIS,The Walt Disney Company,Disney,Communication Services
DKNG,DraftKings Inc,DraftKings,Consumer Discretionary
SOLO,Electrameccanica Vehicles Corporation,Electrameccanica,Consumer Discretionary
ET,Energy Transfer LP,Energy Transfer,Energy
XOM,Exxon Mobil Corporation,Exxon,Energy
FB,Facebook Inc,Facebook,Communication Services
FDX,FedEx Corporation,FedEx,Industrials
FIT,Fitbit Inc,Fitbit,Consumer Discretionary
F,Ford Motor Company,Ford,Consumer Discretionary
FCEL,FuelCell Energy Inc,FuelCell,Industrials
GPS,Gap Inc,Gap,Consumer Discretionary
GE,General Electric,General Electric,Industrials
GNUS,Genius Brands International Inc,Genius Brands,Communication Services
GM,General Motors,General Motors,Consumer Discretionary
GME,Gamestop Corporation,Gamestop,Consumer Discretionary
GPRO,GoPro Inc,GoPro,Consumer Discretionary
HAL,Halliburton Company,Halliburton,Energy
HL,Hecla Mining Company,Hecla,Materials
IDEX,Ideanomics Inc,Ideanomics,Information Technology
INO,Inovio Pharmaceuricals Inc,Inovio,Health Care
IVR,Invesco Mortgage Capital Inc,Invesco,Real Estate
JBLU,JetBlue Airways Corporation,JetBlue,Industrials
JNJ,Johnson & Johnson,Johnson & Johnson,Health Care
KODK,Eastman Kodak Company,Kodak,Industrials
KOS,Kosmos Energy Ltd,Kosmos,Energy
LI,Li Auto Inc,Li Auto,Consumer Discretionary
LAZR,Luminar Technology Inc,Luminar,Information Technology
M,Macy's Inc,Macy,Consumer Discretionary
MRO,Marathon Oil Corporation,Marathon Oil,Energy
MFA,MFA Financial Inc,MFA,Real Estate
MGM,MGM Resorts International,MGM,Consumer Discretionary
MSFT,Microsoft Corp.,Microsoft,Information Technology
MRNA,Moderna Inc,Moderna,Health Care
NFLX,Netflix Inc.,Netflix,Communication Services
NRZ,New Residential Investment Corporation,New Residential Investment,Real Estate
NKE,Nike Inc,Nike,Consumer Discretionary
NKLA,Nikola Inc,Nikola,Consumer Discretionary
NIO,NIO Limited,Nio,Consumer Discretionary
NOK,Nokia Corporation,Nokia,Information Technology
NCLH,Norweigan Cruise Line Holding Ltd,Norweigan,Consumer Discretionary
NVDA,Nvidia Corporation,Nvidia,Information Technology
PLTR,Palantir Technologies Inc,Palantir,Information Technology
PYPL,Paypal Holdings Inc,Paypal,Financials
PTON,Peloton Interactive Inc,Peloton,Consumer Discretionary
PENN,Penn National Gaming Inc,Penn National Gaming,Consumer Discretionary
PFE,Pfizer Inc,Pfizer,Health Care
PLUG,Plug Power Inc,Plug,Industrials
PSEC,Prospect Capital Corporation,Prospect Capital,Financials
RKT,Rocket Companies Inc,Rocket Companies,Financials
RCL,Royal Caribbean Group,Royal Caribbean,Consumer Discretionary
SIRI,Sirius XM Holdings Inc,Sirius,Communication Services
SNAP,Snap Inc,Snap,Communication Services
SNE,Sony Corporation,Sony,Information Technology
SRNE,Sorrento Therapeutics,Sorrento,Health Care
LUV,Southwest Airlines,Southwest,Industrials
SAVE,Spirit Airlines,Spirit,Industrials
SQ,Square Inc,Square,Financials
SBUX,Starbucks Corporation,Starbucks,Consumer Discretionary
SNDL,Sundial Growers Inc,Sundial,Health Care
TSLA,Tesla Inc,Tesla,Consumer Discretionary
TLRY,Tilray Inc,Tilray,Health Care
TWTR,Twitter Inc,Twitter,Communication Services
UBER,Uber Technologies Inc,Uber,Information Technology
UAL,United Airline Holdings Inc,United Airline,Industrials
USO,United States Oil Fund LP,United States Oil,Energy
SPCE,Virgin Galactic Holdings Inc,Virgin Galactic,Industrials
WMT,Walmart,Walmart,Consumer Staples
WFC,Wells Fargo,Wells Fargo,Financials
WKHS,Workhorse Group Inc,Workhorse,Consumer Discretionary
XPEV,XPeng Inc,XPeng,Consumer Discretionary
ZM,Zoom Video Communications Inc,Zoom,Communication Services
ZNGA,Zynga Inc,Zynga,Communication Services
