index,comment
0,Man this TSLA run up has been fun wouldn't have had the balls to buy a share without you retards. I know it isn't a yolo but up 600 in 2.5 weeks is pretty dope.
1,"every day i think about selling my aapl calls to get into tsla and not actually doing it, every day i fucking regret. I'm gonna bite the bullet today boys"
2,"every day i think about selling my aapl calls to get into tsla and not actually doing it, every day i fucking regret. I'm gonna bite the bullet today boys"
3,We appreciate it bro !
4,"Made my quick gains with slv like a week ago, I’m too scared to touch it back"
5,How the fuck did Walmart even get involved in the tik tok deal? Makes as much sense as Kodak making vaccines
6,Thanks bro needed this. Going to finally try and get some sleep and not stress about trying to sell them today
7,All it takes is 350 shares of a market sell to take ulta back down lol
8,probably just tsla correcting. you stupid gay fuck
9,"Off work at noon, baby sitter picks the kids up from school and stays with them at the house for the weekend, wife and I go to a historic hotel with great views for 2 whole days by ourselves.
It’s been 6 months since we’ve been able to do something like this. I’m so stoked. 

Aapl 550"
10,"grate fam. no kids but my girl always gets me a night at a new hotel for my bday, couldn't do it this year but it's always nice. stay safe."
11,my various slv calls for oct / nov/ dec / jan / march like this as well
12,well for future reference.. SLV is typically pretty lame for ups and downs. so calls and puts will lose money....
13,buffets mom about to fomo into QQQ
14,I always figured people would buy more after a split. Just cuz it seems like you're getting more.
15,"really hope msft and wmt stop trying to be cool and stick to ""boring"" cash cow services"
16,"really hope msft and wmt stop trying to be cool and stick to ""boring"" cash cow services"
17,"This is the best. We haven’t gone anywhere, but my mother took my kids for last weekend. 

Nothing like being able to have sex at full volume again. Especially if your wife is a screamer."
18,How much will atm tsla options cost when the split happens?
19,Does anyone else take lots of nervous shits when theyre going to make alot of money? PTON has me pissing me out my ass
20,DOCU is going to kill it imo since most companies and contractors had to resort to virtual signing/agreement for everything the last couple months. I think in-person signing is long gone for everything going forward
21,You deserve a sloppy bj for that
22,"no, tsla is just the figment of a hallucinating butterfly."
23,"I had 5 of those before the til tok announcement. They give me tendies. Although I sold em, I'm considering buying a few and some more after a possible drop."
24,My account is fucked. Spy Puts are gay. I'm gay. now time to yolo the rest and either delete my Robinhood or have tendies for dinner
25,What do we think about aapl and tsla today? Morning gap up then sell off? Run up til end of day? Major sell off in the afternoon?
26,What do we think about aapl and tsla today? Morning gap up then sell off? Run up til end of day? Major sell off in the afternoon?
27,Sub to /r/thetagang as well if you go this route or want to start reading more about those strategies. They're way less meme and yolo oriented over there.
28,I’m overexposed in tech with 5 calls all exp 9/11 and 9/18. Should I sell at open for a small loss/breakeven in fear of a rug pull or will it not likely affect me with those expirations?
29,Sold that shit at a loss and bought tsla and aapl best decision I ever made
30,Sold that shit at a loss and bought tsla and aapl best decision I ever made
31,If qqq stays flat yes. If qqq outpaces the price movement that market makers are pricing in than no.
32,Bought ostk yesterday on the dip. It’s on sale fellas.
33,"Found it, praying for my msft call"
34,That was me then I sold yesterday bc scared hahah
35,Apple and fb calls for next week
36,Rotation out of spy and dia  and into QQQ
37,"Can you imagine how aapl will look sitting at 125, and tsla which may hit 2300, sitting on your app at just over 500... Psychologically, I believe it will act as a game reset, as all this shyt and numbers feel like a cotdamn game anyway lol... Players who didn't conquer the game before, will see the opportunity to run the stock up back to where it was... Tesla was under 500 5 months ago lol
... Maaaan listen"
38,"Can you imagine how aapl will look sitting at 125, and tsla which may hit 2300, sitting on your app at just over 500... Psychologically, I believe it will act as a game reset, as all this shyt and numbers feel like a cotdamn game anyway lol... Players who didn't conquer the game before, will see the opportunity to run the stock up back to where it was... Tesla was under 500 5 months ago lol
... Maaaan listen"
39,"pls, i need this so i can continue pissing off my gf with more red days in the future"
40,"Tesla and to a degree aapl have proven to not give a fukk about true fundamentals.. There is something to be said regarding sentiment in today's  climate.. Not saying it going to run beyond what we've been used to on a daily basis, but the next few days, weeks, months are going to be extremely interesting"
41,"Tesla and to a degree aapl have proven to not give a fukk about true fundamentals.. There is something to be said regarding sentiment in today's  climate.. Not saying it going to run beyond what we've been used to on a daily basis, but the next few days, weeks, months are going to be extremely interesting"
42,"Musk going to demo Neurolink during power hour, so tsla might have strong movement up to close."
43,I got 120c exp today lets go
44,I keep sqqq on my watchlist just to have a bit of red
45,It’s moving averages have been catching up to it and it’s shown to have support near 80s. I’m holding. I think 110-120 is def not out of reach again later this year or next.
46,I’ve heard of that. Basically it shows you where the momentum is going in the options market right? I’ve never subscribed bc I wasn’t sure how to use it
47,Lol I bought a 140c right at the top yesterday not expecting to hit. Check pm and lolol 😭👌
48,Need some confirmation bias on the msft tiktok deal
49,You must be in nio and rkt
50,"wtf i should’ve held my ccl call


no no

i took a nice profit 


👍"
51,Thoughts on fb today? Going back to 300?
52,"Much luv bruh, and you!"
53,Tbh it’ll do it so regardless bc its fucking gay as fuck
54,Key thing to not touch it for two years. Then the idiot kids will forget who bought it.
55,Gotta lose 20K first then earn it back with FD’s to get tax free gains bro !
56,"idk check their ticker, some CRM's already had their run ups because Salesforce did. (see NOW)"
57,"What's happening this morning why is there to much bearish articles this morning got one for microsoft losing 11%, nvda going back to $200"
58,Smell a morning tsla dump if this premarket continues. Always seems to happen
59,There it is another $2500 pt for tsla
60,You could be me and have sold fsly calls
61,So AAPL and TESLA don't trade until 9:30 monday after today's 4 pm close?
62,Are you the last “not a” mod standing?
63,Imagine being me right now... sold my slv calls for puts before closing yesterday
64,Tik tok interim ceo on CNBC in 20 mins
65,Jnj and wmt going up!!!
66,112 exp today. Prob sell at open
67,"I had Taco Bell for breakfast so I can happily generate some all natural, home brewed nitrogen gases for you to breathe in bro 😉"
68,Holy shit tsla keeps goin and goin
69,"Is it bad I showed my 8 year old son Kyle's mom is a bitch? 

No gore, just a funny fat kid cursing. SPY 351 EOD."
70,So my mom just told me she can give me 100k to invest after I correctly told her GLD up and DXY fall back in May. The thought of having 100k account and an addiction to weekly calls terrify me. I should just play with my small account
71,Im going to yolo so hard into AAPL calls eod
72,Nice bro thank you
73,"Let’s pay respects to that account. 

The scariest thing are confident kids that’s started trading during the 12 year bull market."
74,January 170c here cuz I got faith
75,"What wmt positions are y’all holding 
155c 9/18 here"
76,We bout to see some hard fomo for Tesla... all the sideline creeps bout to jump in cuz choo choo leavin to unparalleled tendies land.
77,"amd 90 eod 

🤡 👍"
78,"The dumbest thing I've ever done is buy a few WMT 9/18 150C for 0.15 per contract and now I've made up all my losses from the year. Lesson learned: TA and FA are worthless, just accept that I'm a gambling addict and yolo on dumb shit."
79,Serious: So I’ve been playing vxx weeklies recently which has been working well. Any insight into playing it long term (buying calls dated around the election)? Seems like a sure thing but I recognize Vix isnt a very traditional investment so I wanted to float this.
80,Hopefully fb at least gets a dead cat bounce
81,I’d def sell at open tho
82,idk if im just a retard but like 2 weeks before the election i wanna sit cashgang and get like 20% of my acc in puts if the market tanks il be fine and if donny wins well i only lost 20% off it when with biden i would lose 100% so
83,"So if MSFT ends up with tiktok, they could have a social media platform to rival FB? Sounds like an epic win.. I’m just not familiar enough with tiktok bc I’m too old?"
84,"The obvious play on fb is puts, so thats why you inverse and buy calls"
85,"You could’ve bought a weekly eod yesterday, they get super cheap when tesla trades sideways"
86,There are no uvxy nov calls right now
87,My PT is 140 until either tik tok is a go or walmart+ launches. After july walmart+ announcement WMT was pinned to 130-132 for 2 months. Could see it pinned at 140 for a little bit
88,aapl fading again and prob gonna sell off at open while tsla moons again. fucking joke. stuck by aapl all week and it trades sideways all week
89,aapl fading again and prob gonna sell off at open while tsla moons again. fucking joke. stuck by aapl all week and it trades sideways all week
90,so u think msft will go tp 250? i have a call for 232.5 so im hoping it happens too. what about aapl?
91,Not today. By 9/18 msft will be $250+
92,Oops I got Pat restricted . Will tda lift this ? Or do I have to wait 90? Days
93,"Damn your mom seems cool af also retarded tho

Calls on this guy’s mom"
94,Sold out of tsla 2 days ago to go all in on aapl 505 &amp; 510
95,Sold out of tsla 2 days ago to go all in on aapl 505 &amp; 510
96,send them one of those secure messages on your tda account and tell them  you're a noob and can they please lift the restriction. They'll do it
97,Lol aapl why can't you be more like tsla
98,What’s nio target today?
99,I'm packing msft calls. I ride to Valhalla. Show yourself. What u got???¿???
100,"Amazon just cucked NKLA, Rivian, Tesla and everyone else. 

Big boys are coming in EV and these kids will all be bankrupt soon"
101,Is ulta going to tank at open?
102,"dont feel bad i did it too

should have never got into yoloing options. ive made good money on shares. 

it helped me learn though and atleast i have a better understanding than the plebs at my job buying BA at ath on cash app"
103,Hmm.. didn't know nvda takes two dicks at once?
104,If you think anyone but big orange is making the tik tok deal announcement you’ve been under a rock the last 4 years
105,Does Vanessa have a tik tok page? Id like to see her dance moves
106,Should I sell my aapl $510c that expires today at open?
107,Has that one nerd showed back up with his Elon tattoo yet?
108,"I got 73’s for pton a few weeks back on another dip.   It’s year end reporting for them, so as long as guidance doesn’t suck can’t see them not being above that. Good luck"
109,I remember thinking tik tok was shit and that it would die off quick like many social medias in the past. But nope they just kept playing those shitty commercials and now i have tik tak and i actually enjoy it
110,I remember thinking tik tok was shit and that it would die off quick like many social medias in the past. But nope they just kept playing those shitty commercials and now i have tik tak and i actually enjoy it
111,Are we selling aapl today or thinking it moons next week for the split
112,I love how you direct your question to the “share holders” bro they don’t know what’s gonna happen either
113,Walmart tik tok deal being announced today?
114,2hrs ago bro u slow as hell
115,I got dem 9/11 35cs
116,"Aight I sent one, hope it works lol.

I got a little carried away on spy fds and didn’t want to blow up my account lol"
117,Your mom is a 10 bagger
118,New rumor on r/hardware suggests that 3090 uses TSMC 7 nm could be huge
119,"“Inter-generational activity like daughter telling father he’s gonna be a grand dad”

Or the horny old guys throwing money at Bella Thorne lmao, trying to talk about how tik tok is great for creative expression 🤣🤣🤣🤣🤣"
120,I did some dumb things this week.  And pdt rule kept me from cashing out at the right times.  Only thing that can save me now is FB going to 310 today.  Crossing every finger I got right here.
121,whos got nvda puts
122,Cramer took the morning off. Probably loading on wmt Boomer
123,She got the job about five minutes ago cuz the last guy quit unexpectedly. Did you actually not know this??
124,Like circus peanuts and rc cola
125,Tesla will be the reason aapl doesnt moon today 😒
126,What exp date are you targeting?
127,"R/smallstreetbets for dirty peasants

Dw, we'll be joining you there soon when our tsla 5000C turn out to be a pile of shit"
128,i mean sell in the morning. what are you in? I def took 48 hours as weekend news drop.
129,Which one of us just put down a 10k buy order on aapl do it again
130,im gonna rail two lines of coke and dump 40k into tsla 2300c fds
131,Sell qqq calls at open or hold
132,"ikr....bros not gonna make it here...

you sit for a second until slv hits like 28-29 and everyne goes crazy again. 

Fomo doesnt easly come back after people get burned."
133,Fb fds at open youre welcome
134,It’ll probably hit 35 imo but maybe not until a few days after because stocks seem to go 💥 a couple days after earnings.
135,Ill buy my gf an audi tt
136,Would be surprised if aapl breaks 507 barrier...
137,"Aapl, NVDA and tsla gonna finish the day with ath."
138,Lmao bro why you gotta be like that
139,So aapl 525 eod?
140,Am a bull bro I promise
141,Bro you’d be surprised. It might drop today. I’d cut money I need and save a yolo FD. Because you really think mms are going to let retail build positions. Think the news will drop today
142,Bro you’d be surprised. It might drop today. I’d cut money I need and save a yolo FD. Because you really think mms are going to let retail build positions. Think the news will drop today
143,been saying this too. aapl is such a tease
144,Bro you’d be surprised. It might drop today. I’d cut money I need and save a yolo FD. Because you really think mms are going to let retail build positions. Think the news will drop today
145,Bro you’d be surprised. It might drop today. I’d cut money I need and save a yolo FD. Because you really think mms are going to let retail build positions. Think the news will drop today
146,here comes the aapl fade into open
147,real question is... will aapl dump 10 min after open like everyday or will it survive and ride?
148,Yesterday i was between a tsla 9/4 2200 or an amzn 9/4 3400. I went with amzn :(
149,Yesterday i was between a tsla 9/4 2200 or an amzn 9/4 3400. I went with amzn :(
150,"In my head aapl will just keep mooning for the next 2 years and I will then be a millionaire. 

In reality in 3 months I will probably get slaughtered"
151,Why has ebay been dropping?
152,my dumb ass is starting to have hope i might break even on my slv calls after the misery of yesterday
153,Aren’t nvda calls free money with their new chips?
154,Why is tiktak such a big deal...?  It's a fad and kids have no loyalty to apps..  remember vine?  that was popular now I don't hear a peep about it.   30billion for an app for attention seeking teens and soy adults to do a 10 sec dance?  peek bubble I tell ya.  s
155,Is the VIX going up cuz big boys are buying puts for insurance?
156,250 shares ballz deep! I need it to go to 28 eod and 30 Monday morning!
157,"They have been very tight lipped about the specifics and are hyping up this ""surprise"" like crazy. There's no way that they're such a bush league company that they don't have an ace up their sleeve. Look up tech write ups previewing the event... There are a handful of rumors but still lots of question marks surrounding this. No way it's fully priced in."
158,Have you used ebay lately?
159,Anybody else masterbate furiously after losing a lot of money cuz same
160,Gonna yolo on fb calls fuck it
161,Gonna yolo on fb calls fuck it
162,3450/3470 amzn spreads ride or die.  Aapl 510/515 and 520/525 get rich or die tryin
163,Sell abt at open? 112 8/28
164,so dump my aapl calls and go into nvda?
165,whyyy???? ino is 11 dollarss now... you think its gonna double in a day?
166,Yes.  But for safety i would sell 2:45 est or earlier because everyone getting force sold at once.  Last week tsla dropped from approx 100 pts between 3 and 4 because everyone getting force sold at market price all at one time
167,"3 Boiled eggs, 2 pb toast and coffee!   Will keep you solid till noon."
168,Nah man you don’t get it. Once the kids know that wal mart owns it they’ll think wal mart is cool!
169,Nah man you don’t get it. Once the kids know that wal mart owns it they’ll think wal mart is cool!
170,Sell tsla fd at open? Or is it going to continue pumping
171,Sell tsla 9/18 3000c at open or let it ride??
172,"#neckbeards: mom I ain’t never gonna shave my motherfuckin neckbeard so please stop asking me to shave my motherfuckin neckbeard!

*mom stares, silently, confused*

*neckbeard scurries back to basement*

*uses crayons to start drawing TA on a SPY daily chart*"
173,"tik tok is gonna be [broadcast.com](https://broadcast.com) for whoever buys it

no intrinsic value, its just a trendy name, shit will go the way of vine and myspace."
174,Do I sell my 60 contracts of WMT 160’s today? Or hold for tik tok news Jan 15th exp
175,lol ofc aapl fading
